               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  76,            0.028544,           0.0053297,           0.0062081,             0.98087,             0.99981,               0.995,             0.77113,            0.019272,           0.0032014,          0.00094696,           0.0098757,           0.0098757,           0.0098757
                  77,            0.028508,            0.005217,           0.0063454,             0.98591,             0.99979,               0.995,             0.77419,            0.019124,           0.0033098,           0.0010695,           0.0098723,           0.0098723,           0.0098723
                  78,             0.02868,           0.0052442,           0.0063159,             0.98979,                   1,               0.995,             0.77629,             0.01923,           0.0032332,          0.00094929,            0.009869,            0.009869,            0.009869
                  79,            0.028234,           0.0051648,           0.0065417,             0.99102,                   1,               0.995,             0.76126,            0.019229,           0.0033304,           0.0009932,           0.0098656,           0.0098656,           0.0098656
                  80,            0.028404,           0.0051392,           0.0062341,             0.98973,                   1,               0.995,             0.76237,             0.01905,           0.0032562,           0.0010017,           0.0098621,           0.0098621,           0.0098621
                  81,            0.028914,           0.0052366,           0.0065132,              0.9877,                   1,               0.995,             0.75794,            0.019203,           0.0032717,           0.0010063,           0.0098586,           0.0098586,           0.0098586
                  82,            0.028684,            0.005144,            0.006614,             0.97616,              0.9997,               0.995,             0.75325,            0.019665,           0.0033793,           0.0010465,           0.0098551,           0.0098551,           0.0098551
                  83,             0.02773,           0.0051594,           0.0057126,             0.98434,             0.99986,               0.995,             0.77444,            0.018966,           0.0032417,          0.00091697,           0.0098515,           0.0098515,           0.0098515
                  84,            0.028438,            0.005158,           0.0061433,             0.98645,                   1,               0.995,             0.75636,            0.020089,            0.003276,          0.00093836,           0.0098479,           0.0098479,           0.0098479
                  85,            0.028084,           0.0050948,           0.0065493,             0.98297,                   1,               0.995,              0.7715,            0.019393,           0.0032844,            0.001105,           0.0098442,           0.0098442,           0.0098442
                  86,            0.027708,           0.0050069,           0.0058509,             0.99091,                   1,               0.995,             0.76126,            0.020487,           0.0033141,          0.00094203,           0.0098405,           0.0098405,           0.0098405
                  87,            0.028156,           0.0051854,           0.0062465,             0.98915,                   1,               0.995,             0.74862,            0.020032,           0.0032377,           0.0009711,           0.0098368,           0.0098368,           0.0098368
                  88,            0.028443,           0.0051522,            0.006277,             0.98778,                   1,               0.995,             0.75927,            0.020048,           0.0032196,          0.00095008,            0.009833,            0.009833,            0.009833
                  89,            0.028063,           0.0051495,           0.0055711,             0.98762,                   1,               0.995,             0.75527,            0.019372,           0.0032391,          0.00096651,           0.0098291,           0.0098291,           0.0098291
                  90,            0.028097,           0.0051244,           0.0059201,             0.98771,                   1,               0.995,             0.79326,            0.018148,           0.0032108,          0.00092191,           0.0098252,           0.0098252,           0.0098252
